row,col,consumer,natural,permuted
3,25,14,12,14
3,26,14,13,14
3,27,14,13,14
3,28,15,14,15
3,29,15,14,15
3,30,15,15,15
3,31,15,15,15
4,0,16,16,16
4,1,16,16,16
4,2,16,17,16
4,3,16,17,16
4,4,17,18,17
4,5,17,18,17
4,6,17,19,17
4,7,17,19,17
4,8,18,16,18
4,9,18,16,18
4,10,18,17,18
4,11,18,17,18
4,12,19,18,19
4,13,19,18,19
4,14,19,19,19
4,15,19,19,19
4,16,16,16,16
4,17,16,16,16
4,18,16,17,16
4,19,16,17,16
4,20,17,18,17
4,21,17,18,17
4,22,17,19,17
4,23,17,19,17
4,24,18,16,18
4,25,18,16,18
4,26,18,17,18
4,27,18,17,18
4,28,19,18,19
4,29,19,18,19
4,30,19,19,19
4,31,19,19,19
5,0,20,20,20
5,1,20,20,20
5,2,20,21,20
5,3,20,21,20
5,4,21,22,21
5,5,21,22,21
5,6,21,23,21
5,7,21,23,21
5,8,22,20,22
5,9,22,20,22
5,10,22,21,22
5,11,22,21,22
5,12,23,22,23
5,13,23,22,23
5,14,23,23,23
5,15,23,23,23
5,16,20,20,20
5,17,20,20,20
5,18,20,21,20
5,19,20,21,20
5,20,21,22,21
5,21,21,22,21
5,22,21,23,21
5,23,21,23,21
5,24,22,20,22
5,25,22,20,22
5,26,22,21,22
5,27,22,21,22
5,28,23,22,23
5,29,23,22,23
5,30,23,23,23
5,31,23,23,23
6,0,24,24,24
6,1,24,24,24
6,2,24,25,24
6,3,24,25,24
6,4,25,26,25
6,5,25,26,25
6,6,25,27,25
6,7,25,27,25
6,8,26,24,26
6,9,26,24,26
6,10,26,25,26
6,11,26,25,26
6,12,27,26,27
6,13,27,26,27
6,14,27,27,27
6,15,27,27,27
6,16,24,24,24
6,17,24,24,24
6,18,24,25,24
6,19,24,25,24
6,20,25,26,25
6,21,25,26,25
6,22,25,27,25
6,23,25,27,25
6,24,26,24,26
6,25,26,24,26
6,26,26,25,26
6,27,26,25,26
6,28,27,26,27
6,29,27,26,27
6,30,27,27,27
6,31,27,27,27
7,0,28,28,28
7,1,28,28,28
7,2,28,29,28
7,3,28,29,28
7,4,29,30,29
7,5,29,30,29
7,6,29,31,29
7,7,29,31,29
7,8,30,28,30
7,9,30,28,30
7,10,30,29,30
7,11,30,29,30
7,12,31,30,31
7,13,31,30,31
7,14,31,31,31
7,15,31,31,31
7,16,28,28,28
7,17,28,28,28
7,18,28,29,28
7,19,28,29,28
7,20,29,30,29
7,21,29,30,29
7,22,29,31,29
7,23,29,31,29
7,24,30,28,30
7,25,30,28,30
7,26,30,29,30
7,27,30,29,30
7,28,31,30,31
7,29,31,30,31
7,30,31,31,31
7,31,31,31,31
8,0,0,0,0
8,1,0,0,0
8,2,0,1,0
8,3,0,1,0
8,4,1,2,1
8,5,1,2,1
8,6,1,3,1
8,7,1,3,1
8,8,2,0,2
8,9,2,0,2
8,10,2,1,2
8,11,2,1,2
8,12,3,2,3
8,13,3,2,3
8,14,3,3,3
8,15,3,3,3
8,16,0,0,0
8,17,0,0,0
8,18,0,1,0
8,19,0,1,0
8,20,1,2,1
8,21,1,2,1
8,22,1,3,1
8,23,1,3,1
8,24,2,0,2
8,25,2,0,2
8,26,2,1,2
8,27,2,1,2
8,28,3,2,3
8,29,3,2,3
8,30,3,3,3
8,31,3,3,3
9,0,4,4,4
9,1,4,4,4
9,2,4,5,4
9,3,4,5,4
9,4,5,6,5
9,5,5,6,5
9,6,5,7,5
9,7,5,7,5
9,8,6,4,6
9,9,6,4,6
9,10,6,5,6
9,11,6,5,6
9,12,7,6,7
9,13,7,6,7
9,14,7,7,7
9,15,7,7,7
9,16,4,4,4
9,17,4,4,4
9,18,4,5,4
9,19,4,5,4
9,20,5,6,5
9,21,5,6,5
9,22,5,7,5
9,23,5,7,5
9,24,6,4,6
9,25,6,4,6
9,26,6,5,6
9,27,6,5,6
9,28,7,6,7
9,29,7,6,7
9,30,7,7,7
9,31,7,7,7
10,0,8,8,8
10,1,8,8,8
10,2,8,9,8
10,3,8,9,8
10,4,9,10,9
10,5,9,10,9
10,6,9,11,9
10,7,9,11,9
10,8,10,8,10
10,9,10,8,10
10,10,10,9,10
10,11,10,9,10
10,12,11,10,11
10,13,11,10,11
10,14,11,11,11
10,15,11,11,11
10,16,8,8,8
10,17,8,8,8
10,18,8,9,8
10,19,8,9,8
10,20,9,10,9
10,21,9,10,9
10,22,9,11,9
10,23,9,11,9
10,24,10,8,10
10,25,10,8,10
10,26,10,9,10
10,27,10,9,10
10,28,11,10,11
10,29,11,10,11
10,30,11,11,11
10,31,11,11,11
11,0,12,12,12
11,1,12,12,12
11,2,12,13,12
11,3,12,13,12
11,4,13,14,13
11,5,13,14,13
11,6,13,15,13
11,7,13,15,13
11,8,14,12,14
11,9,14,12,14
11,10,14,13,14
11,11,14,13,14
11,12,15,14,15
11,13,15,14,15
11,14,15,15,15
11,15,15,15,15
11,16,12,12,12
11,17,12,12,12
11,18,12,13,12
11,19,12,13,12
11,20,13,14,13
11,21,13,14,13
11,22,13,15,13
11,23,13,15,13
11,24,14,12,14
11,25,14,12,14
11,26,14,13,14
11,27,14,13,14
11,28,15,14,15
11,29,15,14,15
11,30,15,15,15
11,31,15,15,15
12,0,16,16,16
12,1,16,16,16
12,2,16,17,16
12,3,16,17,16
12,4,17,18,17
12,5,17,18,17
12,6,17,19,17
12,7,17,19,17
12,8,18,16,18
12,9,18,16,18
12,10,18,17,18
12,11,18,17,18
12,12,19,18,19
12,13,19,18,19
12,14,19,19,19
12,15,19,19,19
12,16,16,16,16
12,17,16,16,16
12,18,16,17,16
12,19,16,17,16
12,20,17,18,17
12,21,17,18,17
12,22,17,19,17
12,23,17,19,17
12,24,18,16,18
12,25,18,16,18
12,26,18,17,18
12,27,18,17,18
12,28,19,18,19
12,29,19,18,19
12,30,19,19,19
12,31,19,19,19
13,0,20,20,20
13,1,20,20,20
13,2,20,21,20
13,3,20,21,20
13,4,21,22,21
13,5,21,22,21
13,6,21,23,21
13,7,21,23,21
13,8,22,20,22
13,9,22,20,22
13,10,22,21,22
13,11,22,21,22
13,12,23,22,23
13,13,23,22,23
13,14,23,23,23
13,15,23,23,23
13,16,20,20,20
13,17,20,20,20
13,18,20,21,20
13,19,20,21,20
13,20,21,22,21
13,21,21,22,21
13,22,21,23,21
13,23,21,23,21
13,24,22,20,22
13,25,22,20,22
13,26,22,21,22
13,27,22,21,22
13,28,23,22,23
13,29,23,22,23
13,30,23,23,23
13,31,23,23,23
14,0,24,24,24
14,1,24,24,24
14,2,24,25,24
14,3,24,25,24
14,4,25,26,25
14,5,25,26,25
14,6,25,27,25
14,7,25,27,25
14,8,26,24,26
14,9,26,24,26
14,10,26,25,26
14,11,26,25,26
14,12,27,26,27
14,13,27,26,27
14,14,27,27,27
14,15,27,27,27
14,16,24,24,24
14,17,24,24,24
14,18,24,25,24
14,19,24,25,24
14,20,25,26,25
14,21,25,26,25
14,22,25,27,25
14,23,25,27,25
14,24,26,24,26
14,25,26,24,26
14,26,26,25,26
14,27,26,25,26
14,28,27,26,27
14,29,27,26,27
14,30,27,27,27
14,31,27,27,27
15,0,28,28,28
15,1,28,28,28
15,2,28,29,28
15,3,28,29,28
15,4,29,30,29
15,5,29,30,29
15,6,29,31,29
15,7,29,31,29
15,8,30,28,30
15,9,30,28,30
15,10,30,29,30
15,11,30,29,30
15,12,31,30,31
15,13,31,30,31
15,14,31,31,31
15,15,31,31,31
15,16,28,28,28
15,17,28,28,28
15,18,28,29,28
15,19,28,29,28
15,20,29,30,29
15,21,29,30,29
15,22,29,31,29
15,23,29,31,29
15,24,30,28,30
15,25,30,28,30
15,26,30,29,30
15,27,30,29,30
15,28,31,30,31
15,29,31,30,31
15,30,31,31,31
15,31,31,31,31
